date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:41	51607/51607	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/label-badge.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/label-badge.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:42	47280/47280	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/progress-bar.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/progress-bar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:42	54696/54696	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/list.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/list.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:42	53243/53243	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tooltip.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/tooltip.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:43	49517/49517	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/typography.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/typography.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:43	48461/48461	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/other.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/other.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:43	46588/46588	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/draggable.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/draggable.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:43	72014/72014	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/modal.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/modal.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:43	46025/46025	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:21%20GMT	https://colorlib.com//polygon/admindek/default/notification.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/notification.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:44	47027/47027	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/rating.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/rating.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:44	47667/47667	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/range-slider.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/range-slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:44	44950/44950	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/slider.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:44	53077/53077	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/syntax-highlighter.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/syntax-highlighter.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:45	46845/46845	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tour.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/tour.html	(from https://colorlib.com//polygon/admindek/default/index.html)
